0,1,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.3971864785,1.0003658438,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.603179,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,0.000650046,
1,2,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.3911741539,0.9198450858,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.528671,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,0.00113624,
2,3,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.3830500445,0.8507267998,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.467677,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,0.00155775,
3,4,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.3737436387,0.7908384625,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.417095,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,0.00196259,
4,5,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.3638606191,0.7385114002,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.374651,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,0.00237469,
5,6,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.3537312446,0.6924478182,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.338717,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,0.00280771,
6,7,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.343580212,0.6516241315,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.308044,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,0.00326723,
7,8,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.3335008378,0.6152278336,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.281727,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,0.00376378,
8,9,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.3235503669,0.5826002148,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.25905,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,0.00429203,
9,10,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.3140012544,0.5532084997,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.239207,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,0.00485813,
