0,0.1,0.49,1,0.494925,1.0050004167,0.4949495831,1.0050501688,0.4949496648,1.0050503346,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.494949665,1.005050335,0.51,0.510075,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,0.510101,2.11072e-12,1.26793e-11,3.38618e-11,5.51203e-11,6.5826e-11,6.80137e-11,6.80296e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,6.80298e-11,
0.1,0.2,0.4851244185,0.9900498338,0.4949016557,1.0048022347,0.4949995107,1.004998519,0.4950001634,1.0049998268,0.4950001666,1.0049998333,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.4950001666,1.0049998334,0.504925,0.509901,0.509999,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,2.0905e-12,1.25328e-11,3.34e-11,5.42375e-11,6.46274e-11,6.67291e-11,6.6765e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,6.67654e-11,
0.2,0.3,0.4802973499,0.9801986733,0.4948297754,1.0045084957,0.4950479641,1.0049454359,0.4950501468,1.0049498037,0.4950501632,1.0049498365,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.4950501633,1.0049498367,0.499901,0.509679,0.509897,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,0.5099,2.06971e-12,1.23877e-11,3.2944e-11,5.33683e-11,6.34495e-11,6.54676e-11,6.55222e-11,6.55229e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,6.55227e-11,
0.3,0.4,0.4755183114,0.9704455336,0.4947103275,1.0041211209,0.495094485,1.0048899874,0.4950996084,1.0049002366,0.4950996596,1.0049003391,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.49509966,1.00490034,0.494927,0.509411,0.509796,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,0.509801,2.04912e-12,1.22439e-11,3.24937e-11,5.25118e-11,6.22914e-11,6.42276e-11,6.43005e-11,6.43035e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,6.43031e-11,
0.4,0.5,0.4707868252,0.9607894392,0.4945442656,1.0036420029,0.4951386288,1.0048312699,0.4951485367,1.004851088,0.4951486606,1.0048513357,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.4951486618,1.0048513382,0.490003,0.509098,0.509693,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,0.509703,2.02874e-12,1.21018e-11,3.20493e-11,5.16682e-11,6.11534e-11,6.30095e-11,6.30994e-11,6.31018e-11,6.31015e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,6.31013e-11,
0.5,0.6,0.466102418,0.9512294245,0.4943325292,1.0030730056,0.4951799652,1.0047684074,0.4951969163,1.0048023117,0.4951971705,1.0048028202,0.4951971736,1.0048028263,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.4951971736,1.0048028264,0.485127,0.50874,0.509588,0.509605,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,0.509606,2.00856e-12,1.19614e-11,3.16107e-11,5.08374e-11,6.0035e-11,6.18129e-11,6.19188e-11,6.1922e-11,6.19221e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,6.19217e-11,
0.6,0.7,0.4614646215,0.9417645336,0.4940760437,1.0024159652,0.4952180771,1.0047005511,0.4952447273,1.0047538537,0.4952451937,1.0047547865,0.4952452002,1.0047547995,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4952452003,1.0047547997,0.4803,0.50834,0.509482,0.509509,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,0.50951,1.98858e-12,1.18225e-11,3.11778e-11,5.00192e-11,5.89359e-11,6.06374e-11,6.07585e-11,6.07628e-11,6.07642e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,6.07637e-11,
0.7,0.8,0.4568729718,0.9323938199,0.4937757206,1.00167269,0.4952525606,1.004626879,0.4952919462,1.0047056523,0.495292734,1.0047072277,0.4952927466,1.0047072529,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.4952927467,1.0047072533,0.475521,0.507897,0.509374,0.509414,0.509414,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,0.509415,1.96881e-12,1.16852e-11,3.07507e-11,4.92135e-11,5.78559e-11,5.94827e-11,5.96181e-11,5.96237e-11,5.96237e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,5.96232e-11,
0.8,0.9,0.4523270097,0.9231163464,0.4934324575,1.0008449613,0.495283025,1.0045465948,0.4953385457,1.0046576381,0.4953397949,1.0046601366,0.4953398174,1.0046601816,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.4953398177,1.0046601823,0.470789,0.507413,0.509264,0.509319,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,0.50932,1.94922e-12,1.15494e-11,3.03291e-11,4.842e-11,5.67946e-11,5.83485e-11,5.84974e-11,5.85042e-11,5.85044e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,5.85042e-11,
0.9,1,0.4478262808,0.9139311853,0.4930471389,0.9999345332,0.4953090922,1.0044589282,0.4953844946,1.0046097351,0.4953863797,1.0046135053,0.4953864174,1.0046135807,0.495386418,1.0046135819,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.495386418,1.004613582,0.466105,0.506887,0.50915,0.509225,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,0.509227,1.92984e-12,1.14152e-11,2.99131e-11,4.76385e-11,5.57516e-11,5.72343e-11,5.73959e-11,5.74042e-11,5.74045e-11,5.74042e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,5.74039e-11,
